CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM,Latitude,Longitude
관광특구,1.0,POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone,37.511000033694984,127.06006305282887
관광특구,2.0,POI002,동대문 관광특구,Dongdaemun Fashion Town Special Tourist Zone,37.567310951178904,127.0110225062225
관광특구,3.0,POI003,명동 관광특구,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone,37.56414952509789,126.98185095527941
관광특구,4.0,POI004,이태원 관광특구,Itaewon Special Tourist Zone,37.53443789733159,126.99437253061254
관광특구,5.0,POI005,잠실 관광특구,Jamsil Special Tourist Zone,37.51647937513823,127.1152740133431
관광특구,6.0,POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone,37.57000154171814,126.99736943604613
관광특구,7.0,POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone,37.55391867558625,126.92127401787192
고궁·문화유산,8.0,POI008,경복궁,Gyeongbokgung Palace,37.57987614402731,126.97676560384028
고궁·문화유산,9.0,POI009,광화문·덕수궁,Gwanghwamun & Deoksugung Palace,37.57167838080251,126.9771913995408
고궁·문화유산,10.0,POI010,보신각,Bosingak,37.57058502820595,126.98341114649618
고궁·문화유산,11.0,POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site,37.56063235212937,127.13075913083627
고궁·문화유산,12.0,POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine,37.578695650372666,126.99335264781948
인구밀집지역,13.0,POI013,가산디지털단지역,Gasan Digital Complex station,37.480890177418004,126.88010684966166
인구밀집지역,14.0,POI014,강남역,Gangnam station,37.49885651855946,127.0281337673516
인구밀집지역,15.0,POI015,건대입구역,Konkuk University station,37.53996722455095,127.06819538381424
인구밀집지역,16.0,POI016,고덕역,Godeok station,37.553455423727044,127.15487190219277
인구밀집지역,17.0,POI017,고속터미널역,Express Bus Terminal station,37.504814159831476,127.00585471577682
인구밀집지역,18.0,POI018,교대역,Seoul National University of Education station,37.49220110026206,127.01395826511242
인구밀집지역,19.0,POI019,구로디지털단지역,Guro Digital Complex station,37.48387786041519,126.89618261328168
인구밀집지역,20.0,POI020,구로역,Guro station,37.50235001496437,126.8821218132979
인구밀집지역,21.0,POI021,군자역,Gunja station,37.55631615522623,127.0801947376799
인구밀집지역,22.0,POI022,남구로역,Namguro station,37.48525953116486,126.88729574946841
인구밀집지역,23.0,POI023,대림역,Daerim station,37.49266735951783,126.89554279596115
인구밀집지역,24.0,POI024,동대문역,Dongdaemun station,37.571481099334996,127.00965404984282
인구밀집지역,25.0,POI025,뚝섬역,Ttukseom station,37.54829072422787,127.04613725267534
인구밀집지역,26.0,POI026,미아사거리역,Miasageori station,37.61219511942154,127.03074071518246
인구밀집지역,27.0,POI027,발산역,Balsan station,37.559151239271486,126.8391733058642
인구밀집지역,28.0,POI028,북한산우이역,Bukhansan Ui station,37.66266243596273,127.01106438314532
인구밀집지역,29.0,POI029,사당역,Sadang station,37.47793082420778,126.98126586039031
인구밀집지역,30.0,POI030,삼각지역,Samgakji station,37.53534086123934,126.97388328122841
인구밀집지역,31.0,POI031,서울대입구역,Seoul National University station,37.48061299893417,126.953062571338
인구밀집지역,32.0,POI032,서울식물원·마곡나루역,Seoul Botanic Park·Magongnaru station,37.56759678142856,126.8310611294594
인구밀집지역,33.0,POI033,서울역,Seoul station,37.55659428234287,126.97302795181167
인구밀집지역,34.0,POI034,선릉역,Seolleung station,37.50605403848306,127.04980700047507
인구밀집지역,35.0,POI035,성신여대입구역,Sungshin Women's University station,37.5923931061508,127.01686525466961
인구밀집지역,36.0,POI036,수유역,Suyu station,37.64106003445984,127.02572241174892
인구밀집지역,37.0,POI037,신논현역·논현역,Sinnonhyeon·Nonhyeon station,37.5080801205745,127.02340583366124
인구밀집지역,38.0,POI038,신도림역,Sindorim station,37.50909929017777,126.8902046498012
인구밀집지역,39.0,POI039,신림역,Sillim station,37.48467722591495,126.92933726040343
인구밀집지역,40.0,POI040,신촌·이대역,Sinchon·Ewha Womans University station,37.557035479669715,126.93897230704684
인구밀집지역,41.0,POI041,양재역,Yangjae station,37.485339423445495,127.03397149300275
